keys,en,es
dial1,PLAY,JUGAR
dial2,OPTIONS,OPCIONES
dial3,TUTORIAL,TUTORIAL
dial4,QUIT,SALIR
dial5,CONTROLS,CONTROLES
dial6,PAUSE:,PAUSA:
dial7,UP:,ARRIBA:
dial8,DOWN:,ABAJO:
dial9,LEFT:,IZQUIERDA:
dial10,RIGHT:,DERECHA:
dial11,AIM: MOUSE POINTER,APUNTAR:    PUNTERO DEL RATON
dial12,SHOOT:    LEFT CLICK,DISPARAR:     CLICK IZQUIERDO
dial13,PICK  UP OBJECT:  STEP OVER IT,RECOGER OBJETO:    PASAR ENCIMA DEL OBJETO
dial14,WAVE,HORDA  
dial15,WAVES SURVIVED:,HORDAS SOBREVIVIDAS:
dial16,RESTART,VOLVER A EMPEZAR
dial17,ESC/ESPACE,ESC/ESPACIO
dial18,MASTER VOLUME,VOLUMEN GENERAL
dial19,MUSIC VOLUME,VOLUMEN MUSICA
dial20,EFFECTS VOLUME,VOLUMEN EFECTOS
dial21,FULL SCREEN,PANTALLA COMPLETA
dial22,WINDOW SCREEN,PANTALLA EN VENTANA
dial23,BORDERLESS FULL SCREEN ,PANTALLA COMPLETA SIN BORDES
dial24,BORDERLESS WINDOW SCREEN ,VENTANA SIN BORDES
dial25,BACK TO MENU,VOLVER AL MENU
dial26,MAX HORDE:,HORDA MAX:
dial27,SELECT LANGUAGE,SELECCIONAR IDIOMA
dial28,SCREEN MODE,MODO DE PANTALLA
